Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,29.79,30.3724,29.5641,30.1638,128089.62510422
2023-01-03,30.3724,34.5015,30.1638,33.3714,1011211.4801663
2023-01-04,33.3714,35.8228,33.2932,35.6837,664335.87140364
2023-01-05,35.5533,36.7095,35.0839,36.2661,783415.68067585
2023-01-09,36.5964,37.7265,36.5964,37.3353,491702.18618302
2023-01-10,37.2049,37.9873,36.6834,37.796,270120.76681573
2023-01-11,37.883,38.4393,36.24,36.2574,372132.31287296
2023-01-12,36.3356,37.5613,36.1618,36.8747,324757.15511067
2023-01-13,36.7703,37.2397,36.5096,36.5878,242925.66387026
2023-01-16,36.4226,37.118,36.2488,36.892,272747.09591999
2023-01-17,37.0311,37.118,36.0749,36.5096,189905.56659217
2023-01-18,36.5096,36.7529,35.4229,35.4229,242756.55726565
2023-01-19,34.9448,35.2925,33.7278,34.5623,407497.45055273
2023-01-20,34.9361,35.3534,33.9191,35.223,324858.38899643
2023-01-23,35.3968,35.6229,34.571,35.2403,148902.391707
2023-01-24,35.3795,35.7446,34.7188,35.0404,207743.43741588
2023-01-25,34.5971,34.5971,32.7716,33.4584,511563.58433672
2023-01-26,33.7278,34.2754,32.6239,33.7278,310752.36732479
2023-01-27,34.0755,34.0755,33.4671,33.7278,142261.21872458
2023-01-30,33.4584,33.4584,32.1979,32.2153,273375.20616568
2023-01-31,32.337,34.1364,32.337,34.0668,393883.79368908
2023-02-01,34.0755,34.9274,33.3801,34.119,544443.89027528
2023-02-02,34.7709,35.6229,34.3276,34.6058,370000.64934682
2023-02-03,34.7362,35.3099,34.2581,34.9448,165332.19121069
2023-02-06,34.7709,35.0404,33.9017,33.9886,168567.07401452
2023-02-07,33.9103,34.3363,33.4845,33.9799,132433.47911108
2023-02-08,34.3624,34.4406,33.6496,33.8496,151686.3235652
2023-02-09,34.0755,35.8315,33.9712,35.2317,335869.8748422
2023-02-10,34.7709,34.9188,33.3975,33.7887,291691.63717659
2023-02-13,33.7278,34.319,33.441,33.7278,122734.5826249
2023-02-14,33.9017,34.7709,33.7974,34.2233,157666.02513503
2023-02-15,34.2494,34.7536,33.9625,34.3537,149865.26400672
2023-02-16,34.458,35.5447,33.1106,35.4664,424833.75348794
2023-02-17,34.8145,35.2143,34.3885,34.6319,112412.17743329
2023-02-20,34.5101,34.5449,33.8582,34.3015,202343.52991901
2023-02-21,34.5101,34.5101,33.441,33.9017,212145.96106107
2023-02-22,33.5366,33.806,32.8586,33.4671,175213.99892226
2023-02-23,33.2237,34.0234,33.2237,33.9625,92557.681589974
2023-02-24,34.119,34.6841,33.9103,34.5276,214250.01534565
2023-02-27,34.5101,34.6841,34.0495,34.6145,80637.391542554
2023-02-28,34.5971,35.9445,34.3363,35.3012,262777.85894344
2023-03-01,35.5533,36.0053,34.9883,34.9883,128427.83831344
2023-03-02,34.8579,34.8579,34.232,34.4233,256167.7463578
