Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,139.025,139.695,134.843,137.352,4126.7510416451
2023-01-03,138.021,143.542,136.349,142.705,20212.950930514
2023-01-04,143.877,149.565,143.877,148.059,173496.88642031
2023-01-05,149.733,157.93,148.896,149.23,153325.77682423
2023-01-09,151.573,154.082,150.402,152.744,47650.107117303
2023-01-10,151.74,152.744,150.736,151.405,5867.3505539959
2023-01-11,152.242,154.584,148.227,149.733,16343.225228948
2023-01-12,148.561,152.744,148.227,152.242,8221.224482443
2023-01-13,152.242,152.409,149.063,149.733,5085.5153334757
2023-01-16,152.074,152.074,148.728,150.402,4400.512915497
2023-01-17,152.242,152.242,144.881,145.55,20052.758392976
2023-01-18,145.55,148.561,142.371,143.542,8199.7060818782
2023-01-19,143.877,144.547,138.858,141.033,11427.466166595
2023-01-20,141.367,145.382,140.531,143.208,7940.2898084028
2023-01-23,145.382,148.896,144.713,147.056,5165.6116022446
2023-01-24,147.39,148.896,145.048,146.052,4829.6854600945
2023-01-25,145.884,145.884,140.029,143.877,12906.258472074
2023-01-26,143.877,143.877,142.204,143.041,5673.684948913
2023-01-27,143.041,143.877,142.204,143.71,4509.3003850189
2023-01-30,144.379,144.379,138.858,139.193,5379.6001411943
2023-01-31,139.695,144.379,138.524,144.379,6304.8913654798
2023-02-01,144.379,146.888,142.705,144.547,9246.934909364
2023-02-02,145.717,150.402,141.535,143.542,16851.298575617
2023-02-03,142.539,144.547,142.539,144.547,39302.163164868
2023-02-06,144.379,144.379,140.698,142.371,6286.9593650091
2023-02-07,141.367,143.542,140.698,140.865,4598.9603873721
2023-02-08,141.367,142.873,141.367,141.535,3514.672092247
2023-02-09,143.375,146.219,141.535,145.382,5323.4132063863
2023-02-10,145.382,146.052,140.531,143.375,9194.3343746501
2023-02-13,143.375,143.877,136.349,138.356,8500.9636897851
2023-02-14,138.858,141.702,138.858,139.862,4257.0569117318
2023-02-15,138.858,141.702,138.858,140.531,8858.4082325
2023-02-16,142.204,144.211,138.189,143.877,16028.817487363
2023-02-17,143.71,143.71,140.865,141.2,1770.486179802
2023-02-20,142.873,143.041,140.196,140.196,2687.4091372011
2023-02-21,140.865,140.865,136.85,140.029,4927.713729334
2023-02-22,139.527,139.527,135.679,136.516,4971.9459971616
2023-02-23,138.021,139.862,136.181,139.025,1099.8293621997
2023-02-24,140.364,141.87,135.679,138.858,3759.7427653458
2023-02-27,138.021,141.2,137.687,140.698,2227.1544584545
2023-02-28,140.865,144.547,138.858,142.873,20155.568529008
2023-03-01,142.873,145.55,142.539,144.379,5052.0422659305
2023-03-02,145.717,145.717,139.527,139.527,2698.1683374835
2023-03-03,141.87,143.71,140.531,142.371,1812.3275142335
2023-03-06,143.71,148.896,142.204,146.387,14104.116103513
2023-03-07,147.222,147.39,145.382,146.387,5855.3958870155
2023-03-08,144.881,149.899,144.211,145.216,3978.5131710877
2023-03-09,144.713,146.888,144.547,146.387,4340.7395805948
2023-03-10,144.211,144.211,139.862,143.877,5255.2716045978
2023-03-13,141.033,146.219,135.512,137.519,12753.238734725
2023-03-14,137.018,141.367,134.006,138.858,5445.3508095867
2023-03-15,140.531,141.535,132.501,132.501,10927.761086813
2023-03-16,133.002,137.185,126.812,131.998,10939.715753793
2023-03-17,135.01,137.854,129.824,133.17,26027.700949796
2023-03-20,133.17,133.839,128.82,132.501,10413.710406654
2023-03-21,132.667,137.854,132.667,133.839,7238.5508566515
2023-03-22,134.675,136.181,131.329,131.329,6194.9084292598
2023-03-23,133.002,135.178,130.995,133.839,8918.1815674022
2023-03-24,135.01,135.01,132.166,132.333,17439.468191054
2023-03-27,132.501,136.181,132.501,134.675,3551.7315598863
2023-03-28,134.843,141.535,134.341,134.341,25841.208144901
