"date","closes_alior","closes_ing"
2023-01-01,30.16,137.35
2023-01-02,30.16,137.35
2023-01-03,33.37,142.71
2023-01-04,35.68,148.06
2023-01-05,36.27,149.23
2023-01-06,37.34,152.74
2023-01-07,37.8,151.41
2023-01-08,37.03,150.57
2023-01-09,36.26,149.73
2023-01-10,36.87,152.24
2023-01-11,36.73,150.985
2023-01-12,36.59,149.73
2023-01-13,36.89,150.4
2023-01-14,36.7,147.975
2023-01-15,36.51,145.55
2023-01-16,35.42,143.54
2023-01-17,34.56,141.03
2023-01-18,35.22,143.21
2023-01-19,35.24,147.06
2023-01-20,35.04,146.05
2023-01-21,33.46,143.88
2023-01-22,33.595,143.46
2023-01-23,33.73,143.04
2023-01-24,33.73,143.71
2023-01-25,32.975,141.45
2023-01-26,32.22,139.19
2023-01-27,34.07,144.38
2023-01-28,34.12,144.55
2023-01-29,34.61,143.54
2023-01-30,34.94,144.55
2023-01-31,33.99,142.37
2023-02-01,33.98,140.87
2023-02-02,33.915,141.205
2023-02-03,33.85,141.54
2023-02-04,35.23,145.38
2023-02-05,34.51,144.38
2023-02-06,33.79,143.38
2023-02-07,33.73,138.36
2023-02-08,34.22,139.86
2023-02-09,34.35,140.53
2023-02-10,35.47,143.88
2023-02-11,34.63,141.2
2023-02-12,34.3,140.2
2023-02-13,34.1,140.115
2023-02-14,33.9,140.03
2023-02-15,33.47,136.52
2023-02-16,33.715,137.775
2023-02-17,33.96,139.03
2023-02-18,34.53,138.86
2023-02-19,34.61,140.7
2023-02-20,35.3,142.87
2023-02-21,34.99,144.38
2023-02-22,34.42,139.53
2023-02-23,34.34,142.37
2023-02-24,34.765,144.38
2023-02-25,35.19,146.39
2023-02-26,35.66,146.39
2023-02-27,35.975,145.805
2023-02-28,36.29,145.22
2023-03-01,35.64,146.39
2023-03-02,34.2,143.88
2023-03-03,33.47,137.52
2023-03-04,33.92,138.86
2023-03-05,32.06,132.5
2023-03-06,31.87,132
2023-03-07,30.885,132.585
2023-03-08,29.9,133.17
2023-03-09,29.49,132.5
2023-03-10,29.825,133.17
2023-03-11,30.16,133.84
2023-03-12,29.81,131.33
2023-03-13,29.96,133.84
2023-03-14,29.65,132.33
2023-03-15,31.03,134.68
2023-03-16,32.04,134.34
2023-03-17,32.89,131.83
2023-03-18,33.21,133.585
2023-03-19,33.53,135.34
2023-03-20,33.68,137.19
2023-03-21,33.92,139.28
2023-03-22,34.16,141.37
2023-03-23,34.97,140.03
2023-03-24,33.85,138.69
2023-03-25,34.01,136.35
2023-03-26,35.69,142.04
2023-03-27,36.77,140.03
2023-03-28,38.46,139.36
2023-03-29,38.83,138.69
2023-03-30,39.2,138.02
2023-03-31,39.48,138.86
2023-04-01,39.405,139.28
2023-04-02,39.33,139.7
2023-04-03,39.07,138.52
2023-04-04,39.19,138.36
2023-04-05,39.75,135.85
2023-04-06,39.15,135.85
2023-04-07,38.8,134.68
2023-04-08,37.9,133.84
2023-04-09,38.38,133.42
2023-04-10,38.86,133
2023-04-11,37.73,132.5
2023-04-12,37.48,133.17
2023-04-13,37.23,133.84
2023-04-14,36.19,131
2023-04-15,36.79,134.17
2023-04-16,36.81,138.86
2023-04-17,36.51,144.55
2023-04-18,37.22,146.39
2023-04-19,37.18,141.37
2023-04-20,37.455,139.695
2023-04-21,37.73,138.02
2023-04-22,36.7,138.19
2023-04-23,36.735,138.86
2023-04-24,36.77,139.53
2023-04-25,36.45,143.38
2023-04-26,36.86,141.03
2023-04-27,37.9,143.71
2023-04-28,38.16,146.89
2023-04-29,38.45,148.9
2023-04-30,37.18,142.37
2023-05-01,37.51,142.285
2023-05-02,37.84,142.2
2023-05-03,38.49,142.71
2023-05-04,38.195,141.62
2023-05-05,37.9,140.53
2023-05-06,36.87,140.7
2023-05-07,35.14,136.68
2023-05-08,36.15,139.53
2023-05-09,38.67,143.04
2023-05-10,38.67,140.87
2023-05-11,40.38,141.37
2023-05-12,39.79,141.37
2023-05-13,39.2,141.37
2023-05-14,39.6,141.03
2023-05-15,39.115,141.45
2023-05-16,38.63,141.87
2023-05-17,37.73,138.02
2023-05-18,39.31,141.37
